ReviewID,ProductID,ProductCategory,ProductName,ReviewText,Rating,ReviewDate,VerifiedPurchase,HelpfulVotes,CleanedText,Sentiment,SentimentScore,RatingSentiment,Month
REV001777,BOO1174,Books,Sci-Fi Trilogy,"terrible experience, item arrived damaged. Very frustrating.",2,2023-07-18,No,0,terrible experience item arrived damaged frustrating,Negative,-0.8479,Negative,2023-07
REV001899,HOM1524,Home & Kitchen,Air Fryer,"absolutely love this product, exceeded my expectations. Five stars from me.",5,2024-09-14,Yes,2,absolutely love product exceeded expectations five stars me,Positive,0.6697,Positive,2024-09
REV001935,BOO1377,Books,Business Book,"this is fantastic, exactly what I needed.",5,2023-06-14,Yes,2,fantastic exactly what needed,Positive,0.5574,Positive,2023-06
REV002099,ELE1158,Electronics,Wireless Earbuds,"absolutely love this product, exceeded my expectations. Five stars from me.",5,2024-03-20,Yes,1,absolutely love product exceeded expectations five stars me,Positive,0.6697,Positive,2024-03
REV002539,BEA1845,Beauty,Hair Dryer,"absolutely love this product, exceeded my expectations. Five stars from me.",5,2023-04-27,Yes,0,absolutely love product exceeded expectations five stars me,Positive,0.6697,Positive,2023-04
REV001844,ELE1724,Electronics,Wireless Earbuds,"decent for the price, but not amazing.",3,2024-08-23,Yes,1,decent price amazing,Negative,-0.6259,Neutral,2024-08
REV003784,BEA1186,Beauty,Hair Dryer,works flawlessly and looks even better in person.,5,2024-10-03,Yes,0,works flawlessly looks even better person,Positive,0.5719,Positive,2024-10
REV001713,BOO1350,Books,Self-Help Guide,works flawlessly and looks even better in person.,5,2023-05-10,No,6,works flawlessly looks even better person,Positive,0.5719,Positive,2023-05
REV003065,CLO1643,Clothing,Winter Jacket,"this is fantastic, exactly what I needed. Five stars from me.   <br>  ",5,2023-04-19,No,0,fantastic exactly what needed five stars me,Positive,0.5574,Positive,2023-04
REV002703,ELE1718,Electronics,Bluetooth Speaker,"average product, met basic expectations.",3,2023-11-23,Yes,0,average product met basic expectations,Neutral,0.0,Neutral,2023-11
REV001926,BOO1051,Books,Business Book,"reasonable quality, similar to other products in this range.",3,2024-02-22,Yes,0,reasonable quality similar other products range,Neutral,0.0,Neutral,2024-02
REV002174,BEA1852,Beauty,Face Moisturizer,"excellent build quality, arrived quickly and works great. My whole family loves it.",5,2024-05-03,Yes,0,excellent build quality arrived quickly works great whole family loves,Positive,0.91,Positive,2024-05
REV003579,BOO1289,Books,Cookbook,acceptable quality for casual use.,3,2024-04-19,Yes,0,acceptable quality casual use,Positive,0.4767,Neutral,2024-04
REV001317,CLO1096,Clothing,Yoga Pants,works flawlessly and looks even better in person. Would buy again.,4,2024-03-14,Yes,0,works flawlessly looks even better person buy again,Positive,0.5719,Positive,2024-03
REV002862,BEA1776,Beauty,Hair Dryer,works flawlessly and looks even better in person. Fast shipping too!,4,2023-05-24,No,1,works flawlessly looks even better person fast shipping too,Positive,0.6114,Positive,2023-05
REV000702,CLO1419,Clothing,Cotton T-Shirt,"great quality and works perfectly, highly recommend.",5,2023-11-16,Yes,1,great quality works perfectly highly recommend,Positive,0.902,Positive,2023-11
REV002416,BEA1634,Beauty,Lip Balm Set,"great quality and works perfectly, highly recommend. Fast shipping too!",4,2023-08-28,Yes,7,great quality works perfectly highly recommend fast shipping too,Positive,0.9078,Positive,2023-08
REV003401,SPO1616,Sports & Outdoors,Yoga Mat,perfect fit and great customer service too. My whole family loves it.,4,2023-09-29,Yes,0,perfect fit great customer service too whole family loves,Positive,0.9325,Positive,2023-09
REV002337,HOM1720,Home & Kitchen,Blender,"outstanding performance, worth every penny. My whole family loves it.",4,2023-10-24,Yes,2,outstanding performance worth every penny whole family loves,Positive,0.8625,Positive,2023-10
REV003256,HOM1419,Home & Kitchen,Non-Stick Pan Set,"terrible experience, item arrived damaged. Very frustrating.",1,2023-09-27,Yes,5,terrible experience item arrived damaged frustrating,Negative,-0.8479,Negative,2023-09
REV001892,BEA1446,Beauty,Face Moisturizer,acceptable quality for casual use. Still testing it out.,3,2024-05-30,Yes,0,acceptable quality casual use still testing out,Positive,0.4767,Neutral,2024-05
REV003992,BOO1472,Books,Sci-Fi Trilogy,"broke within a week, waste of money. Wish I'd read reviews first.",1,2024-10-09,Yes,0,broke within week waste money wish read reviews first,Negative,-0.4404,Negative,2024-10
REV002022,CLO1080,Clothing,Cotton T-Shirt,"amazing value for the price, very happy with this purchase. Five stars from me.",5,2024-05-21,Yes,0,amazing value price happy purchase five stars me,Positive,0.8805,Positive,2024-05
REV003002,BEA1113,Beauty,Sunscreen SPF50,"great quality and works perfectly, highly recommend. Would buy again.",5,2023-07-28,Yes,3,great quality works perfectly highly recommend buy again,Positive,0.902,Positive,2023-07
REV001040,CLO1780,Clothing,Cotton T-Shirt,"outstanding performance, worth every penny. Would buy again.",4,2023-03-02,Yes,2,outstanding performance worth every penny buy again,Positive,0.7096,Positive,2023-03
REV001461,BEA1658,Beauty,Sunscreen SPF50,works flawlessly and looks even better in person. My whole family loves it.,5,2024-02-09,No,0,works flawlessly looks even better person whole family loves,Positive,0.8126,Positive,2024-02
REV001551,HOM1607,Home & Kitchen,Vacuum Cleaner,"reasonable quality, similar to other products in this range.",3,2023-06-27,Yes,0,reasonable quality similar other products range,Neutral,0.0,Neutral,2023-06
REV002666,SPO1370,Sports & Outdoors,Resistance Bands,"outstanding performance, worth every penny. Five stars from me.",5,2023-05-22,Yes,9,outstanding performance worth every penny five stars me,Positive,0.7096,Positive,2023-05
REV000412,HOM1811,Home & Kitchen,Non-Stick Pan Set,"does what it says, no major complaints.",3,2023-09-16,No,0,what says major complaints,Positive,0.0903,Neutral,2023-09
REV003891,ELE1755,Electronics,Wireless Earbuds,"it's fine, though the packaging could be better. We'll see how it holds up.",3,2024-10-20,Yes,0,fine though packaging better ll see how holds up,Positive,0.5719,Neutral,2024-10
REV002654,BEA1825,Beauty,Shampoo,"very satisfied, the quality exceeded what I paid for. Fast shipping too!",4,2023-10-28,No,2,satisfied quality exceeded what paid fast shipping too,Positive,0.5244,Positive,2023-10
REV000749,CLO1132,Clothing,Winter Jacket,"reasonable quality, similar to other products in this range. We'll see how it holds up.",3,2024-09-13,Yes,0,reasonable quality similar other products range ll see how holds up,Neutral,0.0,Neutral,2024-09
REV003888,BEA1427,Beauty,Hair Dryer,"this is fantastic, exactly what I needed. Would buy again.",4,2023-03-04,Yes,7,fantastic exactly what needed buy again,Positive,0.5574,Positive,2023-03
REV002812,ELE1750,Electronics,Bluetooth Speaker,"very satisfied, the quality exceeded what I paid for.",5,2024-10-16,Yes,7,satisfied quality exceeded what paid,Positive,0.4754,Positive,2024-10
REV002599,BEA1400,Beauty,Shampoo,"it's okay, does the job but nothing special. Still testing it out.",3,2024-04-19,Yes,0,okay job nothing special still testing out,Negative,-0.3479,Neutral,2024-04
REV003562,HOM1474,Home & Kitchen,Air Fryer,"average product, met basic expectations.",3,2024-02-25,Yes,0,average product met basic expectations,Neutral,0.0,Neutral,2024-02
REV001696,SPO1260,Sports & Outdoors,Water Bottle,"it's fine, though the packaging could be better. Still testing it out.",3,2024-08-22,No,1,fine though packaging better still testing out,Positive,0.5719,Neutral,2024-08
REV003838,CLO1554,Clothing,Winter Jacket,"superb product, will definitely buy again. Would buy again.",4,2024-11-12,No,0,superb product definitely buy again buy again,Positive,0.7783,Positive,2024-11
REV003998,ELE1114,Electronics,Wireless Earbuds,"decent for the price, but not amazing. We'll see how it holds up.",3,2024-12-23,No,1,decent price amazing ll see how holds up,Negative,-0.6259,Neutral,2024-12
REV003288,HOM1091,Home & Kitchen,Non-Stick Pan Set,"very satisfied, the quality exceeded what I paid for. Would buy again.",5,2024-05-25,Yes,6,satisfied quality exceeded what paid buy again,Positive,0.4754,Positive,2024-05
REV002137,SPO1698,Sports & Outdoors,Hiking Backpack,perfect fit and great customer service too. Five stars from me.   <br>  ,5,2023-12-25,Yes,10,perfect fit great customer service too five stars me,Positive,0.8834,Positive,2023-12
REV002485,CLO1658,Clothing,Yoga Pants,"amazing value for the price, very happy with this purchase. Five stars from me.   <br>  ",5,2024-07-08,Yes,4,amazing value price happy purchase five stars me,Positive,0.8805,Positive,2024-07
REV002627,HOM1351,Home & Kitchen,Coffee Maker,"does what it says, no major complaints.",3,2023-05-11,Yes,1,what says major complaints,Positive,0.0903,Neutral,2023-05
REV000572,BEA1137,Beauty,Sunscreen SPF50,"this is fantastic, exactly what I needed.",5,2024-11-06,Yes,0,fantastic exactly what needed,Positive,0.5574,Positive,2024-11
REV002845,CLO1205,Clothing,Cotton T-Shirt,"very satisfied, the quality exceeded what I paid for. Fast shipping too!",4,2024-02-20,Yes,2,satisfied quality exceeded what paid fast shipping too,Positive,0.5244,Positive,2024-02
REV003056,BEA1920,Beauty,Sunscreen SPF50,"this is fantastic, exactly what I needed. My whole family loves it.",5,2024-11-16,No,1,fantastic exactly what needed whole family loves,Positive,0.8074,Positive,2024-11
REV001005,HOM1231,Home & Kitchen,Air Fryer,"this is fantastic, exactly what I needed. Fast shipping too!   <br>  ",5,2023-03-18,Yes,0,fantastic exactly what needed fast shipping too,Positive,0.5983,Positive,2023-03
REV001999,SPO1649,Sports & Outdoors,Yoga Mat,works flawlessly and looks even better in person. Five stars from me.,4,2024-07-02,Yes,1,works flawlessly looks even better person five stars me,Positive,0.5719,Positive,2024-07
REV001868,BOO1868,Books,Mystery Novel,perfect fit and great customer service too.,5,2023-12-27,Yes,0,perfect fit great customer service too,Positive,0.8834,Positive,2023-12
REV000923,SPO1543,Sports & Outdoors,Hiking Backpack,"average product, met basic expectations. We'll see how it holds up.",3,2023-07-02,No,0,average product met basic expectations ll see how holds up,Neutral,0.0,Neutral,2023-07
REV000232,HOM1415,Home & Kitchen,Vacuum Cleaner,"gets the job done, nothing more nothing less. Might update this review later.   <br>  ",3,2024-05-07,No,0,gets job done nothing more nothing less might update review later,Neutral,0.0,Neutral,2024-05
REV002472,SPO1307,Sports & Outdoors,Hiking Backpack,"great quality and works perfectly, highly recommend.",5,2023-08-05,Yes,3,great quality works perfectly highly recommend,Positive,0.902,Positive,2023-08
REV001765,SPO1185,Sports & Outdoors,Water Bottle,"regret buying this, quality is really bad. Asked for a refund.",2,2024-02-22,Yes,2,regret buying quality bad asked refund,Negative,-0.7645,Negative,2024-02
REV003706,ELE1928,Electronics,Smartwatch,works flawlessly and looks even better in person. Five stars from me.,5,2024-05-03,No,2,works flawlessly looks even better person five stars me,Positive,0.5719,Positive,2024-05
REV003781,BEA1181,Beauty,Face Moisturizer,"outstanding performance, worth every penny. Would buy again.",5,2024-06-15,Yes,5,outstanding performance worth every penny buy again,Positive,0.7096,Positive,2024-06
REV001577,SPO1254,Sports & Outdoors,Resistance Bands,acceptable quality for casual use. Still testing it out.,3,2024-05-06,Yes,0,acceptable quality casual use still testing out,Positive,0.4767,Neutral,2024-05
REV003233,CLO1317,Clothing,Cotton T-Shirt,perfect fit and great customer service too. Five stars from me.,5,2024-09-03,Yes,10,perfect fit great customer service too five stars me,Positive,0.8834,Positive,2024-09
REV003519,ELE1067,Electronics,Wireless Earbuds,"this is fantastic, exactly what I needed.",4,2024-07-08,Yes,2,fantastic exactly what needed,Positive,0.5574,Positive,2024-07
REV001035,SPO1347,Sports & Outdoors,Yoga Mat,works flawlessly and looks even better in person.   <br>  ,5,2023-10-29,Yes,8,works flawlessly looks even better person,Positive,0.5719,Positive,2023-10
REV000346,CLO1842,Clothing,Cotton T-Shirt,"absolutely love this product, exceeded my expectations. My whole family loves it.",5,2023-08-27,Yes,1,absolutely love product exceeded expectations whole family loves,Positive,0.8479,Positive,2023-08
REV000924,ELE1191,Electronics,Smartwatch,"does not match the description, quite misleading.",2,2024-05-18,No,7,match description quite misleading,Negative,-0.4576,Negative,2024-05
REV000172,CLO1299,Clothing,Running Shoes,"this is fantastic, exactly what I needed. Would buy again.",4,2023-05-27,Yes,0,fantastic exactly what needed buy again,Positive,0.5574,Positive,2023-05
REV002489,ELE1034,Electronics,Laptop Stand,"superb product, will definitely buy again.",5,2024-11-19,Yes,1,superb product definitely buy again,Positive,0.7783,Positive,2024-11
REV002009,CLO1701,Clothing,Winter Jacket,"terrible experience, item arrived damaged. Would not recommend to anyone.",1,2024-11-05,Yes,2,terrible experience item arrived damaged recommend anyone,Negative,-0.797,Negative,2024-11
REV000262,CLO1132,Clothing,Cotton T-Shirt,"does not match the description, quite misleading. Asked for a refund.",1,2024-05-17,Yes,5,match description quite misleading asked refund,Negative,-0.4576,Negative,2024-05
REV000568,ELE1258,Electronics,Wireless Earbuds,"very satisfied, the quality exceeded what I paid for. My whole family loves it.",5,2024-04-15,Yes,2,satisfied quality exceeded what paid whole family loves,Positive,0.7778,Positive,2024-04
REV000886,CLO1623,Clothing,Running Shoes,"gets the job done, nothing more nothing less.",3,2023-06-20,Yes,0,gets job done nothing more nothing less,Neutral,0.0,Neutral,2023-06
REV001837,CLO1751,Clothing,Cotton T-Shirt,works flawlessly and looks even better in person. Five stars from me.,5,2023-02-20,Yes,1,works flawlessly looks even better person five stars me,Positive,0.5719,Positive,2023-02
REV003959,CLO1762,Clothing,Running Shoes,perfect fit and great customer service too.,4,2023-07-05,Yes,0,perfect fit great customer service too,Positive,0.8834,Positive,2023-07
REV001385,BEA1182,Beauty,Sunscreen SPF50,"absolutely love this product, exceeded my expectations. Fast shipping too!",4,2023-11-07,No,2,absolutely love product exceeded expectations fast shipping too,Positive,0.6989,Positive,2023-11
REV002945,SPO1023,Sports & Outdoors,Camping Tent,"absolutely love this product, exceeded my expectations. My whole family loves it.",5,2023-09-08,Yes,0,absolutely love product exceeded expectations whole family loves,Positive,0.8479,Positive,2023-09
REV001237,SPO1521,Sports & Outdoors,Hiking Backpack,"terrible experience, item arrived damaged. Wish I'd read reviews first.   <br>  ",1,2023-10-28,Yes,2,terrible experience item arrived damaged wish read reviews first,Negative,-0.5106,Negative,2023-10
REV000928,BEA1449,Beauty,Face Moisturizer,perfect fit and great customer service too. Fast shipping too!,4,2024-07-22,Yes,1,perfect fit great customer service too fast shipping too,Positive,0.8908,Positive,2024-07
REV000404,CLO1257,Clothing,Winter Jacket,"not bad, not great, just an average item. Still testing it out.",3,2023-06-20,Yes,0,bad great average item still testing out,Positive,0.6754,Neutral,2023-06
REV003014,ELE1602,Electronics,Power Bank,"excellent build quality, arrived quickly and works great. Fast shipping too!",5,2024-05-23,Yes,1,excellent build quality arrived quickly works great fast shipping too,Positive,0.8439,Positive,2024-05
REV000402,HOM1624,Home & Kitchen,Air Fryer,"superb product, will definitely buy again. Five stars from me.",4,2023-08-01,Yes,3,superb product definitely buy again five stars me,Positive,0.7783,Positive,2023-08
REV000837,BEA1696,Beauty,Lip Balm Set,"very satisfied, the quality exceeded what I paid for.",4,2023-03-07,Yes,7,satisfied quality exceeded what paid,Positive,0.4754,Positive,2023-03
REV001182,CLO1223,Clothing,Running Shoes,perfect fit and great customer service too. Five stars from me.,5,2023-11-30,No,0,perfect fit great customer service too five stars me,Positive,0.8834,Positive,2023-11
REV001179,BOO1749,Books,Self-Help Guide,arrived defective and customer support was unhelpful.,2,2024-04-14,No,1,arrived defective customer support unhelpful,Negative,-0.0516,Negative,2024-04
REV000020,CLO1146,Clothing,Running Shoes,"amazing value for the price, very happy with this purchase. Fast shipping too!",4,2024-09-16,Yes,0,amazing value price happy purchase fast shipping too,Positive,0.8881,Positive,2024-09
REV000591,ELE1401,Electronics,Smartwatch,"excellent build quality, arrived quickly and works great. Fast shipping too!",4,2023-09-28,Yes,5,excellent build quality arrived quickly works great fast shipping too,Positive,0.8439,Positive,2023-09
REV001326,SPO1303,Sports & Outdoors,Hiking Backpack,"not bad, not great, just an average item. Might update this review later.",3,2023-05-24,Yes,0,bad great average item might update review later,Positive,0.6754,Neutral,2023-05
REV001545,BOO1699,Books,Business Book,"does not match the description, quite misleading. Wish I'd read reviews first.",1,2023-06-01,Yes,5,match description quite misleading wish read reviews first,Neutral,-0.0038,Negative,2023-06
REV002573,ELE1182,Electronics,Wireless Earbuds,perfect fit and great customer service too. My whole family loves it.,4,2023-06-05,Yes,1,perfect fit great customer service too whole family loves,Positive,0.9325,Positive,2023-06
